ID,Language_ID,Primary_Text,Morphemes,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comments,Text_ID,Part_of_Speech,wPOS,Other_Translation
2.5,lez,"АкӀ жезвай хьи , кӀурцӀулди вичал залай жуваз жувазни чин тийиз зун ктӀан хьана идал .","АкӀ	же -зва -й	хьи	,	кӀурцӀул -ди	вичал	за -л -ай	жув -а -з	жув -а -з -ни	чи -н	тийи -з	зун	ктӀан	хьа -на	ида -л	.","АкӀ	жен -зва -й	хьи	,	кӀурцӀул -ди	вичал	за -л -ай	жув -ди -з	жув -ди -з -ни	чи -н	тийин -з	зун	ктӀан	хьун -на	идани -л	.","like.that	being IMPF PST	that	,	puppy DIR	on.itself	1sg.ERG SPSS EL	us ERG DAT	us ERG DAT FOC	know MSD	don't INF	1sg.abs	beat	be AOR	he.again SPSS	.","“It seemed, not knowing myself, I got attached to the dog. ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,prt	v v:TAM1 cop:(TAM)	coordconn	punct	n n:(CASE2)	pro	pers n:(CASE) n:(CASE2)	proform n:(OBLIQUEstem) n:(CASE)	proform n:(OBLIQUEstem) n:(CASE) Attachestoanycategory	v v:TAM1	v v:TAM1	pers	v	msd v:TAM1	pers n:(CASE)	punct,prt v coordconn punct n pro pro recp pro pro v pers v Vf pro punct,~~~
2.6,lez,"Гьар зун акурла ида хкадарзава , зи патав къвезва , залай цӀарцӀар~язава ида , ахпа гъил це лагьайла гъил гузва .","гьар	зун	акур -ла	ида	хкадар -зава	,	зи	патав	къве -зва	,	за -л -яй	цӀарцӀар.язава	ида	,	ахпа	гъил	це	лагьа -й -ла	гъил	гу -зва	.","гьар	зун	акун -ла	идани	хкадарун -зва	,	зи	патав	къве -зва	,	зава -л -ай	цӀарцӀар.язава	идани	,	ахпа	гъил	це	лугьун -й -ла	гъил	гун -зва	.","every	1sg.abs	seen TEMP	he.again	jumps IMPF	,	1sg.gen	to	come IMPF	,	I SPSS EL	~~~	he.again	,	then	hand	give	say PST TEMP	hand	to.give IMPF	.","Every time it saw me it jumped, came to me, revolved around me, then gave it’s paw when I ordered.",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pro	pers	v v:(TAM2)	pers	v v:TAM1	punct	proform	post	v v:TAM1	punct	pro n:(CASE) n:(CASE2)	~~~	pers	punct	adv	n	Vnf	v cop:(TAM) v:(TAM2)	n	v v:TAM1	punct,pro pers ptcp pro Vnf punct proform post Vnf punct pers Vnf pro punct adv n v v n Vf punct,~~~
2.7,lez,"Гьетта аниз атана акъатна хьи , зун яргъара акваг им зал зерирла зун агъуз хьайила , ида зи винелай хкадарзавай .","гьетта	ани -з	ата -на	акъат -на	хьи	,	зун	яргъа -ра	аква -н	им	за -л	зерир -ла	зун	агъуз	хьайи -ла	,	ида	зи	вине -л -ай	хкадар -зава -й	.","гьетта	ани -з	атун -на	акъатун -на	хьи	,	зун	яргъа -ди	акун -н	им	зава -л	зеририн -ла	зун	агъуз	хьайи -ла	,	идани	зи	винелай -л -ай	хкадарун -зва -й	.","also	that DAT	come AOC	apperance AOC	that	,	1sg.abs	far ERG	~~~ HORT	he	I SPSS	run TEMP	1sg.abs	down	born TEMP	,	be	1sg.gen	over SPSS AOP	jumps IMPF PST	.","It came to the point that when it saw me from distance it ran to me, I bent down and the dog jumped over me.",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,prt	pro n:(CASE)	v v:TAM1	v v:TAM1	coordconn	punct	pers	adv n:(OBLIQUEstem)	v v:TAM1	pro	pro n:(CASE)	v v:(TAM2)	pers	adv	v v:(TAM2)	punct	pers	proform	post n:(CASE) v:TAM1	v v:TAM1 cop:(TAM)	punct,n pro v v coordconn punct pers adv v pro pro ptcp pers adv ptcp punct pro poss post Vf punct,~~~
2.8,lez,Гьакьван чи арада хъсан отношение хьана .,Гьакьван	чи	ара -да	хъсан	отношение	хьа -на	.,Гьакьван	чи	арадай -е	хъсан	отношение	хьун -на	.,~~~	1pl.gen	among INESS	good	relationship	be AOR	.,We had developed good relations.  ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,num	pro	prep n:(OBLIQUEstem)	adj	n	v v:TAM1	punct,num pro post adj n v punct,~~~
2.9,lez,"Вахт алатна идакай са пара иер , хур еке , верци са хъсан кицӀ хьана .","вахт	алат -на	ида -к -яй	са	пара	иер	,	хур	еке	,	верци	са	хъсан	кицӀ	хьа -на	.","вахт	алатун -на	идани -к -ай	са	пара	иер	,	хур	еке	,	верци	са	хъсан	кицӀ	хьун -на	.","time	pass AOC	he.also SBSS EL	one	very	beautiful	,	village	great	,	sweet	one	good	dog	be AOR	.","After some time it turned into fine, good dog. ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,n	v v:TAM1	pers n:(CASE) n:(CASE2)	cardnum	adv	adj	punct	n	adj	punct	adj	cardnum	adj	n	v v:TAM1	punct,n Vnf pro cardnum adv adj punct n adj punct adj cardnum adj n Vf punct,~~~
2.10,lez,"И кцӀин акьуллувал акуна заз им це лагьайбурни хьана , са вад-ругуд неферди .","и	кцӀ -и -н	акьуллу -вал	аку -на	за -з	им	це	лагьай -бур -ни	хьа -на	,	са	вад-ругуд	нефер -ди	.","и	кцӀ -ди -н	акьуллу -вал	акун -на	за -з	им	це	лугъун -бур -ни	хьун -на	,	са	вад-ругуд	нефер -ди	.","this	dog ERG GEN	clever NESS	see AOC	1sg.ERG DAT	he	give	say PL FOC	be AOR	,	one	five.six	person DIR	.",There were five-six people who saw how clever the dog was and wanted to get him.,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,dem	n n:(OBLIQUEstem) n:(CASE)	adj adj>n	v v:TAM1	pers n:(CASE)	pro	v	v proform:Number&Case Attachestoanycategory	v v:TAM1	punct	cardnum	num	n n:(CASE2)	punct,dem n adj Vnf pers pro Vnf v Vf punct cardnum num n punct,~~~
2.11,lez,"Гьетта лагьана хьи заз , агъзур манат пул гуда кицӀ вичиз це , вичи кицӀ ганач .","гьетта	лагьа -на	хьи	за -з	,	агъзур	манат	пул	гу -да	кицӀ	вич -и -з	це	,	вич -и	кицӀ	га -на -ч	.","гьетта	лугьун -на	хьи	за -з	,	агъзур	манат	пул	гун -да	кицӀ	вич -ди -з	це	,	вич -ди	кицӀ	гун -на -ч	.","also	say AOC	that	1sg.ERG DAT	,	100	manat.(azer)	money	give FUT	dog	himself ERG DAT	order.IMPV	,	himself ERG	dog	give AOC NEG	.","Some even were ready to give one thousand manats for the dog, but I didn’t sell the dog. ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,prt	v v:TAM1	coordconn	pers n:(CASE)	punct	num	n	n	v v:TAM1	n	pro n:(OBLIQUEstem) n:(CASE)	v	punct	pro n:(OBLIQUEstem)	n	v v:TAM1 v:(TAM2)	punct,n Vnf coordconn pers punct num n n v n pro Vnf punct pro n Vf punct,~~~
2.12,lez,КицӀ зид я ма .,кицӏ	зид	я	ма	.,кицӏ	зид	я	ма	.,dog	my	was	you.know	.,The dog was mine. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,n	pers	v	prt	punct,n pro Vf prt punct,~~~
3.1,lez,"Ва са къаралай юкъуз им заз гайи зи мирес Исабалади зи патав атана лагьана хьи , за ваз гайи кӀурцӀул , лагьана , са руфуна авай балаяр хадалди зав це , зи кицӀ кьенва .","ва	са	къар- -л -ай	юкъ -у -з	им	за -з	га -йи	зи	мирес	Исабала -ди	зи	патав	ата -на	лагьа -на	хьи	,	за	ва -з	га -йи	кӀурцӀул	,	лагьа -на	,	са	руфу -н -а	ава -й	бала -яр	ха -далди	зав	це	,	зи	кицӀ	кье -нва	.","ва	са	къар- -л -ай	юкъ -ди -з	им	за -з	гун -ай	зи	мирес	Исабала -ди	зи	патав	атнун -на	лугьун -на	хьи	,	за	ва -з	гун -ай	кӀурцӀул	,	лугьун -на	,	са	руфу -н -ди	ава -й	бала -ар	хун -далди	зав	це	,	зи	кицӀ	рекъин -нва	.","and	one	DAY SPSS EL	~~~ OBL DAT	he	1sg.ERG DAT	give AOP	1sg.gen	~~~	Isabala ERG	1sg.gen	to	come AOC	say AOC	that	,	1sg.ERG	2sg DAT	give AOP	puppy	,	say AOC	,	one	stomach GEN ERG	is PST	baby PL	born POSTR	me	order.IMPV	,	1sg.gen	dog	~~~ PERF	.","One day the relative Isabala, who presented me the dog came to me and said that his dog died and he wants to keep my dog till it gives birth to several puppies. ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,coordconn	cardnum	Adverb n:(CASE) n:(CASE2)	n n:(OBLIQUEstem) n:(CASE)	pro	pers n:(CASE)	v v:TAM1	proform	n	nprop n:(OBLIQUEstem)	proform	subordconn	v v:TAM1	v v:TAM1	coordconn	punct	pers	proform n:(CASE)	v v:TAM1	n	punct	v v:TAM1	punct	cardnum	n n:(CASE) n:(OBLIQUEstem)	v cop:(TAM)	n n:(PLURAL)	v v:(TAM2)	pro	v	punct	proform	n	v v:TAM1	punct,coordconn cardnum adv n pro pers v proform n nprop proform post Vnf Vnf coordconn punct pers pro ptcp n punct Vnf punct cardnum n v n v pers Vnf punct proform n Vf punct,~~~
3.2,lez,"Завайни идаз отказ хьанач , вучиз~лагьайтӀа ида заз ам багъишнай хьир , гьавайи ганвай хьир .","завай -ни	ида -з	отказ	хьа -на -ч	,	вуч -из лагьа -й -тӏа	ида	за -з	ам	багъиш -на -й	хьир	,	гьавайи	га -нва -й	хьир	.","завай -ни	идани -з	отказ	хьун -на -ч	,	вуч -з лугьун -й -тӏа	идани	зава -з	ам	багъишин -на -й	хьир	,	гьавайи	гун -нва -й	хьир	.","me.from FOC	be DAT	refusal.(rus)	be AOC NEG	,	what DAT say PST CND	he.again	I DAT	that	forgive AOC PST	even	,	the.are.not.any	give PERF PST	even	.","I couldn’t refuse, because he was the one who gave me the dog for free.",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pro Attachestoanycategory	pers n:(CASE)	v	v v:TAM1 v:(TAM2)	punct	interrog n:(CASE) v cop:(TAM) Inflectsanycategory	pers	pro n:(CASE)	pro	v v:TAM1 cop:(TAM)	prt	punct	adv	v v:TAM1 cop:(TAM)	prt	punct,proform pro v v punct interrog pro pers pro v prt punct adj v prt punct,~~~
3.3,lez,"Идани заз лугьузва хьи , чӀалах хьухь , валлагь-биллагь за вав вахкуда ма .","ида -ни	за -з	лугьу -зва	хьи	,	чӀалах	хьухь	,	валлагь-биллагь	за	ва -в	вахку -да	ма	.","идани -ни	за -з	лугьун -зва	хьи	,	чӀалах	хьухь	,	валлагь-биллагь	за	ва -в	вахгун -да	ма	.","he.also FOC	1sg.ERG DAT	say IMPF	that	,	belivie	be.IMPV	,	vallah.billah	1sg.ERG	2sg AD	return FUT	you.know	.",And he also said that he promised me to return the dog. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pers Attachestoanycategory	pers n:(CASE)	v v:TAM1	coordconn	punct	n	v	punct	n	pers	proform n:(CASE)	v v:TAM1	prt	punct,pers pers Vnf coordconn punct adj v punct n pers proform Vf prt punct,~~~
3.4,lez,"Са заз кӀурцӀулар хун хъувурай и кцӀи , идан несил хъсанди я .","са	за -з	кӀурцӀул -яр	хун	хъуву -рай	и	кцӀи	,	ида -н	несил	хъсанди	я	.","са	за -з	кӀурцӀул -ар	хун	хъувун -рай	и	кицӀ	,	идани -н	несил	хъсанди	я	.","one	1sg.ERG DAT	puppy PL	born	~~~ OPT	this	dog	,	he.again GEN	generation	good	was	.","“I only want it to give birth to puppies, because the dog’s sort is good.”",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,cardnum	pers n:(CASE)	n n:(PLURAL)	v	v v:TAM1	dem	n	punct	pers n:(CASE)	n	adj	v	punct,cardnum pers n Vnf Vnf dem n punct pers n adj Vnf punct,~~~
3.5,lez,ГьакӀ хьана за и кӀурцӀулдиз са тӀварни ганвай – БацӀ лугьузвай идаз за .,ГьакӀ	хьа -на	за	и	кӀурцӀул -ди -з	са	тӀвар -ни	ганва -й	–	БацӀ	лугьу -зва -й	ида -з	за	.,ГьакӀ	хьун -на	за	и	кӀурцӀул -ди -з	са	тӀвар -ни	гун -й	–	БацӀ	лугьу -зва -й	идани -з	за	.,like.that	be AOC	1sg.ERG	this	puppy DIR DAT	one	name FOC	give PST	–	Bats	say IMPF PST	be DAT	1sg.ERG	.,That’s it. I named the dog and called it Bats. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,adv	v v:TAM1	pers	dem	n n:(CASE2) n:(CASE)	cardnum	n Attachestoanycategory	v cop:(TAM)	punct	n	v v:TAM1 cop:(TAM)	pers n:(CASE)	pers	punct,adv Vnf pers dem n cardnum n Vnf punct n v pro pers punct,~~~
3.6,lez,БацӀ вахкана Исабаладив .,БацӀ	вахга -на	Исабала -ди -в	.,БацӀ	вахгун -на	Исабала -ди -в	.,Bats	give AOR	Isabala DIR AD	.,I returned Bats to Isabala. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,n	v v:(TAM)	nprop n:(CASE2) n:(CASE)	punct,n Vf n punct,~~~
4.1,lez,"Алатна са кьадар вахт завай гила регъуьла Исабаладин гъенел физ жезвач , вучиз~лагьайтӀа заз кичӀезва хьи , кицӀи мез ахъайна лугьун хьи , « я стха , вуна зун ци икӀ вахгана иниз , за ваз вуч писвалнай , за ваз хъсан къуллугъзавачирни , за ваз , зу , за ви кӀвал хуьзвачирни .","алат -на	са	кьадар	вахт	за -в -яй	гила	регъуьла	Исабала -ди -н	гъенел	фи -з	же -зва -ч	,	вучиз.лагьа -й -тӀа	за -з	кичӀе -зва	хьи	,	кицӀ -и	мез	ахъа -й -на	лугьу -н	хьи	,	«	я	стха	,	вун -а	зун	ци	икӀ	вахга -на	ини -з	,	за	ва -з	вуч	пис -вал -на -й	,	за	ва -з	хъсан	къуллугъ -зава -чир -ни	,	за	ва -з	,	зу	,	за	ви	кӀвал	хуь -зва -чир -ни	.","алатун -на	са	кьадар	вахт	за -в -ай	гила	регъуьла	Исабала -ди -н	гъенел	фин -з	же -зва -ч	,	вучиз.лагьа -й -тӀа	за -з	кичӀе -зва	хьи	,	кицӀ -ди	мез	ахъа -й -на	лугьун -н	хьи	,	«	я	стха	,	вун -ди	зун	ци	икӀ	вахгун -на	иниз -з	,	за	ва -з	вуч	писвал -вал -на -й	,	за	ва -з	хъсан	гьуьрметин -зва -чир -ни	,	за	ва -з	,	зу	,	за	ви	кӀвал	хуьн -зва -чир -ни	.","pass AOC	one	~~~	time	1sg.ERG AD EL	now	ashamed	Isabala DIR GEN	over	go INF	be IMPF NEG	,	BECAUSE PST COND	1sg.ERG DAT	fear IMPF	that	,	dog ERG	tongue	open PST AOC	say MSD	that	,	«	cop	brother	,	2sg.abs ERG	1sg.abs	why	like.this	give AOC	here DAT	,	1sg.ERG	2sg DAT	what	evil NESS AOR PST	,	1sg.ERG	2sg DAT	good	respect.do IMPF NEG.PST Q	,	1sg.ERG	2sg DAT	,	my	,	1sg.ERG	2sg.gen	house	defend IMPF NEG.PST Q	.","Some time passed, I am ashamed to go to Isabala, because I was afraid the dog would start speaking and saying to me “brother, why did you return me here, what evil have I done to you, wasn’t I taking good care of you or didn’t I guard your house?”  ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,v v:TAM1	cardnum	adv	n	pers n:(CASE) n:(CASE2)	adv	adj	nprop n:(CASE2) n:(CASE)	adv	v v:TAM1	v v:TAM1 v:(TAM2)	punct	conn cop:(TAM) v:(YN)	pers n:(CASE)	v v:TAM1	coordconn	punct	n n:(OBLIQUEstem)	n	adv cop:(TAM) v:TAM1	v v:TAM1	coordconn	punct	punct	n	n	punct	pers n:(OBLIQUEstem)	pers	pro	adv	v v:TAM1	dem n:(CASE)	punct	pers	proform n:(CASE)	interrog	n adj>n v:TAM1 cop:(TAM)	punct	pers	proform n:(CASE)	adj	v v:TAM1 cop:(TAM) v:(YN)	punct	pers	proform n:(CASE)	punct	pers	punct	pers	pro	n	v v:TAM1 cop:(TAM) v:(YN)	punct,Vnf cardnum adv n pro adv adj nprop adv Vnf Vnf punct v pers Vnf coordconn punct n n Vnf Vnf coordconn punct punct v n punct pro pers pro adv v dem punct pers pro interrog n punct pers pro adj Vnf punct pers pro punct pro punct pers pro n Vf punct,~~~
4.2,lez,Гьадакай регъуьла завай гьейетдални физ жезвач .,гьада -к -ай	регъуьла	за -в -яй	гьейет -да -л -ни	фи -з	же -зва -ч	.,гьада -к -ай	регъуьла	за -в -ай	гьаятдал -е -л -ни	фин -з	жен -зва -ч	.,she SBSS EL	ashamed	1sg.ERG AD EL	yard.in INESS SPSS FOCUS	go IMC	be IMPF NEG	.,Because of that I couldn’t enter even his courtyard. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pro n:(CASE) n:(CASE2)	adj	pers n:(CASE) n:(CASE2)	n n:(OBLIQUEstem) n:(CASE) Attachestoanycategory	v v:TAM1	v v:TAM1 v:(TAM2)	punct,dem adj pro n Vnf Vnf punct,~~~
4.3,lez,Заз ван атана гила кӀурцӀулар хана .,за -з	ван	ата -на	гила	кӀурцӀул -яр	хъа -на	.,за -з	ван	атун -на	гила	кӀурцӀул -ар	хъун -на	.,1sg.ERG DAT	voice	come AOC	now	puppy PL	be AOR	.,Now I heard the dog gave birth to puppies.,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pers n:(CASE)	n	v v:TAM1	adv	n n:(PLURAL)	v v:TAM1	punct,pers n Vnf adv n Vf punct,~~~
4.4,lez,"Исабала акурла лагьана хьи за , « Исабала стха , кӀурцӀуларни хана лугьузва , вахчама зи кицӀ .","Исабала	акур -ла	лагьа -на	хьи	за	,	«	Исабала	стха	,	кӀурцӀул -яр -ни	хъа -на	лугьу -зва	,	вахчама	зи	кицӀ	.","Исабала	акур -ла	лугьун -на	хьи	за	,	«	Исабала	стха	,	кӀурцӀул -ар -ни	хъун -на	лугьун -зва	,	вахчама	зи	кицӀ	.","Isabala	seen TEMP	say AOC	that	1sg.ERG	,	«	Isabala	brother	,	puppy PL FOC	be AOR	say IMPF	,	give	1sg.gen	dog	.","When I saw Isabala I told him: “Brother Isabala, I heard the dog gave birth to the puppies. Return me the dog, please.” ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,nprop	v v:(TAM2)	v v:TAM1	coordconn	pers	punct	punct	nprop	n	punct	n n:(PLURAL) Attachestoanycategory	v v:TAM1	v v:TAM1	punct	v	proform	n	punct,nprop v Vnf coordconn pers punct punct nprop n punct n Vf Vnf punct Vf proform n punct,~~~
