ID,Language_ID,Primary_Text,Morphemes,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID,Part_of_Speech,wPOS,Russian_Translation
43841,dido1241,"Kid yaq’ˤiłnosi, ʕuraw ʕoloqbi bayx zown žan esirno, amma eniw razi yoqxo zownanu ža sidxokin yegiranix.",,kid	y-aq’ˤił-nosi	ʕuraw	ʕoloq-bi	b-ay-x	zow-n	ža-n	esir-n	amma	eniw	razi	y-oq-x	zow-n-anu	ža	sida-x-kin	y-egir-ani-x,girl	II-grow.up-ANT.CVB	many	young.person-PL	I.PL-come-IPFV.CVB	be.NPRS-PST.UNW	DEM1.SG-TOP	ask-PST.UNW	but	mother	agree	II-become-IPFV.CVB	be.NPRS-PFV.CVB-NEG	DEM1.SG	one.OBL-AD.ESS-even	II-send-MSD-AD.ESS,"When the girl was grown up, many boys were coming and asked for her hand, but the mother was not content about sending her to any of them.",stan1293,,1,n2	pref-v-vsuf	adv	n1-nsuf	pref-v-vsuf	v-vsuf	pron-suf	v-vsuf	conj	n2	comp	pref-v-vsuf	v-vsuf-vsuf	pron	num-nsuf-suf	pref-v-deriv-nsuf,,"Когда дочь стала взрослой, много молодых людей приходили просить ее руки, тем не менее мать не соглашалась выдать её за кого-либо."
43842,dido1241,Sida maqˤizoni ʕaƛa bečedaw žek’us ɣudƛ’ay ɣudƛ’or ħalaq’ oqxo uži ik’ix zown.,,sida	maqˤi-zo-ni	ʕaƛ-a	bečedaw	žek’u-s	ɣudi-ƛ’ay	ɣudi-ƛ’or	ħalaq’	oq-x	uži	ik’i-x	zow-n,one.OBL	far.away-ATTR.OBL-DEF	village-IN.ESS	wealthy	man-GEN1	day-SUPER.ABL	day-SUPER.LAT	meager	become-IPFV.CVB	son	go-IPFV.CVB	be.NPRS-PST.UNW,"In a village far away, a rich man's son was getting thinner day by day.",stan1293,,1,num	adv-suf-suf	n3-nsuf	adj	n1-nsuf	n4-nsuf	n4-nsuf	adj	v-vsuf	n1	v-vsuf	v-vsuf,,В одном далеком селе сын богатого человека день за днем сохнул.
43843,dido1241,"Eni-babiya dicegon esirłin nesä esix zownanu, šida ža ħalaq’ oqxo yałrułi.",,eni-babiw-a	dice-gon	esir-łin	nesi-a	esi-x	zow-n-anu	šida	ža	ħalaq’	oq-x	yoł-rułi,parents-ERG	how.much-CNTR	ask-CNC.CVB	DEM1.ISG.OBL-ERG	tell-IPFV.CVB	be.NPRS-PST.UNW-NEG	why	DEM1.SG	meager	become-IPFV.CVB	be-MSD,"No matter how often the parents asked him, he didn't tell them why he was becoming so meager.",stan1293,,1,n1pl-nsuf	pron-suf	v-vsuf	pron-nsuf	v-vsuf	v-vsuf-vsuf	pron	pron	adj	v-vsuf	v-vsuf,,"Сколько бы родители не упрашивали его, он не рассказал им, о том, почему он так худел."
43844,dido1241,"Nesi žaz babiya sidaquł q’orol ɣˤanabin yiqirno nełaq esin, hemedur ɣudƛ’ay ɣudƛ’or dey uži ħalaq’ oqxo ik’ixƛin.",,nesi	uži-z	babiw-a	sidaquł	q’orol	ɣˤanabi-n	y-iqir-n	neła-q	esi-n	hemedur	ɣudi-ƛ’ay	ɣudi-ƛ’or	di-s	uži	ħalaq’	oq-x	ik’i-x-ƛin,DEM1.ISG.OBL	boy-GEN2	father-ERG	one.day	widowed	woman-TOP	II-find-PFV.CVB	DEM1.IISG.OBL-POSS.ESS	tell-PST.UNW	so	day-SUPER.ABL	day-SUPER.LAT	me-GEN1	boy	meager	become-IPFV.CVB	go-PRS-QUOT,One day the boy's father found a widow and told her that his boy is becoming meager day by day.,stan1293,,1,pron	n1-nsuf	n1-nsuf	adv	adj	n2-suf	pref-v-vsuf	pron-nsuf	v-vsuf	adv	n4-nsuf	n4-nsuf	pron-nsuf	n1	adj	v-vsuf	v-vsuf-suf,,"И вот однажды его отец разыскал вдову и поведал ей о том, что его сын с каждым днем все худеет и худеет."
43845,dido1241,Q’orol ɣˤanaza eƛin:,,q’orol	ɣˤanabi-a	eƛi-n,widowed	woman-ERG	say-PST.UNW,The widow said:,stan1293,,1,adj	n2-nsuf	v-vsuf,,Вдова в ответ сказала:
43846,dido1241,"Mi där ukrus šit’u neƛnäy, di iyran ža šida ħalaq’ oqxo yałrułiƛin.”",,mi	di-r	ukru-s	šit’u	neƛ-näy	di	iyr-an	ža	šida	ħalaq’	oq-x	yoł-rułi-ƛin,you	me-LAT	silver-GEN1	plate	give-CND.CVB	me	find.out-FUT.DEF	DEM1.SG	why	meager	become-IPFV.CVB	be-MSD-QUOT,"""When you give me a plate full of silver, I will find out why he is becoming meager.""",stan1293,,1,pron	pron-nsuf	n3-nsuf	n3	v-vsuf	pron	v-vsuf	pron	pron	adj	v-vsuf	v-vsuf-suf,,"«Если ты мне дашь полную золота тарелку, то я узнаю почему он все же с каждым днем худеет»."
43847,dido1241,Bečedawni žek’u razi oqno.,,bečedaw-ni	žek’u	razi	oq-n,wealthy-DEF	man	agree	become-PST.UNW,The wealthy man agreed.,stan1293,,1,adj-suf	n1	comp	v-vsuf,,Богач согласился.
43848,dido1241,"Q’orolay žaz idurno yik’in, nesir yiynč’ey neširu ža kecxozo taxeƛno yuqˤełno, ʕenekizi yoqno yičin.",,q’orolay	uži-z	idu-r-n	y-ik’i-n	nesi-r	y-iy-č’ey	neširu	ža	kec-xozo	tax-ƛ-n	y-uqˤeł-n	ʕenekizi	y-oq-n	y-iči-n,widow	boy-GEN2	home-LAT-and	II-go-PST.UNW	DEM1.ISG.OBL-LAT	II-know-NEG.PST.UNW	at.night	DEM1.SG	sleep-PRS.PRT.OBL	bed-SUB.ESS-TOP	II-hide-PST.UNW	listen	II-become-PFV.CVB	II-be-PST.UNW,"The widow went to the boy's home, without him knowing, and at night hid under his bed while he was sleeping, and listened.",stan1293,,1,n2	n1-nsuf	adv-nsuf-suf	pref-v-vsuf	pron-nsuf	pref-v-vsuf	adv	pron	v-vsuf	n4-nsuf-suf	pref-v-vsuf	comp	pref-v-vsuf	pref-v-vsuf,,"Вдова незаметно подкралась в дом сына богача, спряталась под его кроватью и тихо слушала."
43849,dido1241,"Uži kecnosi, nesä mušin kurno nełar eƛix teqno:",,uži	kec-nosi	nesi-a	muši-n	kur-n	neła-r	eƛi-x	teq-n,boy	sleep-ANT.CVB	DEM1.ISG.OBL-ERG	breath-and	exhale-PFV.CVB	DEM1.IISG.OBL-LAT	say-IPFV.CVB	hear-PST.UNW,"After the boy went to sleep, she heard him sighing and saying:",stan1293,,1,n1	v-vsuf	pron-nsuf	n3-suf	v-vsuf	pron-nsuf	v-vsuf	v-vsuf,,"Как только сын лег спать, вдова слышала как он вздохнув сказал:"
43850,dido1241,Hemeła maqˤizo ʕaƛasi där moƛał yukayru mesedyos nak’ila yałruni kid yiqinč’inäy di anƛ’imoq’az äxuƛin.”,,hemeła	maqˤi-zo	ʕaƛ-asi	di-r	moƛu-ł	y-ukad-ru	mesed-s	nak’ila	yoł-ru-ni	kid	y-iqi-č’i-näy	di	anƛ’i-q’az	exu-ƛin,then	far.away-ATTR.OBL	village-RES.PRT	me-LAT	dream-CONT.ESS	II-see-PST.PRT	gold-GEN1	little.finger	be-PST.PRT-DEF	girl	II-get-NEG.FUT-CND.CVB	me	week-POSS.ESS.DIST(?)	die-QUOT,"""Then, if I don't get the girl from the village far away with the golden pinky, that I saw in my dream, I will die in a week.""",stan1293,,1,adv	adv-suf	n3-vsuf	pron-nsuf	n2-nsuf	pref-v-vsuf	n3-nsuf	n3	v-vsuf-suf	n2	pref-v-vsuf-vsuf	pron	n4-nsuf	v-suf,,"«Если я не достану эту девушку из далекого села с золотым мизинцем, то через неделю умру»."
43851,dido1241,"Sasaqozox žarno yiynč’ey maħorno yoqno, q’orola žaz babiwq esin nesiƛ’ yałru q’ʷariłiłäy.",,sasaqozox	uži-r-n	y-iy-č’ey	maħor-n	y-oq-n	q’orol	uži-z	babiw-q	esi-n	nesi-ƛ’	yoł-ru	q’ʷariłi-łay,early.morning	boy-LAT-TOP	II-know-NEG.PST.UNW	outside-TOP	II-become-PFV.CVB	widowed	boy-GEN2	father-POSS.ESS	tell-PFV.CVB	DEM1.ISG.OBL-SUPER.ESS	be-PST.PRT	sadness-CONT.ABL,"In the morning, she secretly went outside; the widow told the boy's father of the sadness that was on him.",stan1293,,1,adv	n1-nsuf-suf	pref-v-vsuf	adv-suf	pref-v-vsuf	adj	n1-nsuf	n1-nsuf	v-vsuf	pron-nsuf	v-vsuf	n4-nsuf,,"Утром она незаметно вышла и тут же отправилась к его отцу, чтобы рассказать ему о горе, которое испытывает его сын."
43852,dido1241,Q’orol ɣˤanazar bayru q’ut’imoxor šebinno teƛno yegirno.,,q’orol	ɣˤanabi-r	b-odi-ru	q’ut’i-xor	šebin-n	teƛ-n	y-egir-n,widowed	woman-LAT	III-do-PST.PRT	agreement-AD.LAT	thing-TOP	give-PFV.CVB	II-send-PST.UNW,He gave the widow what was agreed upon and sent her away.,stan1293,,1,adj	n2-nsuf	pref-v-vsuf	n3-nsuf	n4-suf	v-vsuf	pref-v-vsuf,,"Согласно договору с вдовой, он отдал эту вещь и отпустил её."
43853,dido1241,Xizorzo ɣudzał eni-obiw ža kidno k’edin maħor boqno.,,xizorzo	ɣudi-bi-ł	eni-obiw	ža	kid-n	k’edi-n	maħor	b-oq-n,future.OBL	day-PL-CONT.ESS	parents	DEM1.SG	girl-TOP	search-PFV.CVB	outside	I.PL-become-PST.UNW,During the following days the parents went out to search that girl.,stan1293,,1,adj	n4-nsuf-nsuf	n1pl	pron	n2-suf	v-vsuf	adv	pref-v-vsuf,,В последующие дни родители вышли в поисках этой девушки.
43854,dido1241,Bik’in žedu mesedyos nak’ila yałruni kidbez eniwder bayn.,,b-ik’i-n	žedu	mesed-s	nak’ila	yoł-ru-ni	kid-z	eniw-der	b-ay-n,I.PL-go-PST.UNW	DEM1.IPL.OBL	gold-GEN1	little.finger	be-PST.PRT-DEF	girl-GEN2	mother-APUD.LAT	I.PL-come-PST.UNW,They went on and came to the mother of the girl with the golden pinky.,stan1293,,1,pref-v-vsuf	pron	n3-nsuf	n3	v-vsuf-suf	n2-nsuf	n2-nsuf	pref-v-vsuf,,Отправились они в путь и пришли к матери той девушки с золотым мизинцем.
43855,dido1241,K’emotya kidno yuqˤek’no yičin zown nełas eniw.,,k’emot’-a	kid-n	y-uqˤek’-n	y-iči-n	zow-n	neła-s	eniw,wooden.case-IN.ESS	girl-TOP	II-shut-PFV.CVB	II-be-PFV.CVB	be.NPRS-PST.UNW	DEM1.IISG.OBL-GEN1	mother,The girl's mother locked her away in a chest.,stan1293,,1,n2-nsuf	n2-suf	pref-v-vsuf	pref-v-vsuf	v-vsuf	pron-nsuf	n2,,Мать упрятала свою дочь в сундуке от посторонних глаз.
43856,dido1241,"Xizaɣor esiwz kidbä yiłqor eƛin, yisiq’ay igun, bečedawn deber uži äqinč’i kid xedyox yegirinč’ey min yok’äłinč’iƛin.",,xizaɣor	esiw-z	kid-a	yiła-qor	eƛi-n	yisi-q’ay	igu-n	bečedaw-n	mi-r	uži	iqi-č’i	kid	xediw-x	y-egir-č’ey	mi-n	y-ok’eł-č’i-ƛin,finally	brother-GEN2	girl-ERG	DEM2.IISG.OBL-POSS.LAT	say-PST.UNW	DEM2.ISG.OBL-EQU2	rich-and	wealthy-and	you-LAT	boy	get-NEG.FUT	daughter	husband-AD.ESS	II-send-NEG.PST.UNW	you-TOP	II-escape-NEG.FUT-QUOT,"Finally the brother's girl said to her that she won't find any man as rich and wealthy, so that the daughter couldn't do anything else than to take him as a husband.",stan1293,,1,adv	n1-nsuf	n2-nsuf	pron-nsuf	v-vsuf	pron-nsuf	adj-suf	adj-suf	pron-nsuf	n1	v-vsuf	n2	n1-nsuf	pref-v-vsuf	pron-suf	pref-v-vsuf-suf,,"Наконец, племяница ей сказала: «Лучше и богаче него парня ты не найдёшь и дочь не выдать замуж нельзя»."
43857,dido1241,"Xizaɣor bertenno bodin, kid bečedawni žek’us žax yegirno.",,xizaɣor	berten-n	b-odi-n	kid	bečedaw-ni	žek’u-s	uži-x	y-egir-n,finally	marriage-TOP	I.PL-do-PFV.CVB	girl	wealthy-DEF	man-GEN1	son-AD.ESS	II-send-PST.UNW,Finally they married and sent the girl to the son of the rich man.,stan1293,,1,adv	n3-suf	pref-v-vsuf	n2	adj-suf	n1-nsuf	n1-nsuf	pref-v-vsuf,,В конце концов сыграли свадьбу и дочь выдали за сына зажиточного человека.
43858,dido1241,"Boƛƛ’o zaman bik’inosi, kidbä neła nełdaɣor eniw yižin.",,boƛƛ’o	zaman	b-ik’i-nosi	kid-a	neła-a	neła-daɣor	eniw	y-iži-n,middle	time	III-go-ANT.CVB	girl-ERG	DEM1.IISG.OBL-ERG	DEM1.IISG.OBL-APUD.VERS	motherII	II-lead-PST.UNW,"In the meantime, the girl took her mother to her own place.",stan1293,,1,adv	n3	pref-v-vsuf	n2-nsuf	pron-nsuf	pron-nsuf	n2	pref-v-vsuf,,Не прошло много времени и дочь взяла свою мать к себе.
43859,dido1241,"Nełƛ’ay soder ža ɣˤanabi xedyoz zulmuqayn yok’ełno, Allahzo ašunoz kumakyoƛaza raħatyoƛ’ zown.",,neła-ƛ’ay	soder	ža	ɣˤanabi	xediw-z	zulmu-qay-n	y-ok’-ł-n	Allah-zo	ašuni-z	kumak-ƛaza	raħat-ƛ’	zow-n,DEM1.IISG.OBL-SUPER.ABL	after	DEM1.SG	woman	husband-GEN2	tyranny-POSS.ABL-and	II-beat-POT-PFV.CVB	God-ATTR.OBL	belt-GEN2	help-SUB.VERS	recreation-SUPER.ESS	be.NPRS-PST.UNW,"After that, the woman got repose from her husband's tyranny and his beatings with the help of the rainbow.",stan1293,,1,pron-nsuf	post	pron	n2	n1-nsuf	n3-nsuf-suf	pref-v-vsuf-vsuf	n1-suf	n3-nsuf	n3-nsuf	n3-nsuf	v-vsuf,,С тех пор та женщина навсегда избавилась от угнетения мужа и благодаря помощи радуги снискала себе свободу и покой.
43862,dido1241,Zownƛax zown anuƛax sis ɣˤanabi.,,zow-n-ƛax	zow-n	anu-ƛax	sis	ɣˤanabi,be.NPRS-PFV.CVB-QUOT	be.NPRS-PFV.CVB	be.NEG-QUOT	one	woman,Once upon a time there was a woman.,stan1293,,2,v-vsuf-suf	v-vsuf	v-suf	num	n2,,Жила-была женщина.
43863,dido1241,"Neła eƛni netintow ʕaƛoxay maqˤi, qunyox, yoɣxo zown.",,neła-a	eƛni	netin-tow	ʕaƛ-xay	maqˤi	qun-x	y-oɣ-x	zow-n,DEM1.IISG.OBL-ERG	winter	always-EMPH	village-AD.ABL	far.away	farmstead-AD.ESS	II-spend.time-IPFV.CVB	be.NPRS-PST.UNW,She always spent the winter at a farm far away from the village.,stan1293,,2,pron-nsuf	n2	adv-suf	n3-nsuf	adv	n4-nsuf	pref-v-vsuf	v-vsuf,,"Она всега проводила зиму за пределы села, на хуторе."
43864,dido1241,"Sida quł eƛnoq yaq’ˤu, žek’u maħor oqełxanuzo ħalał, isi yayn.",,sida	qu-ł	eƛni-q	y-aq’ˤu	žek’u	maħor	oq-ł-xanuzo	ħalał	isi	y-ay-n,one.OBL	day-CONT.ESS	winter-POSS.ESS	II-much	man	outside	become-POT-NEG.PRS.PRT.OBL	with.difficulties	snow	II-come-PST.UNW,"One day in winter it snowed so hard, that people couldn't even go outside.",stan1293,,2,num	n4-nsuf	n2-nsuf	pref-adv	n1	adv	v-vsuf-vsuf	adv	n2	pref-v-vsuf,,"Однажды зимой выпал столь много снега, что не возможно было пройти человеку."
43865,dido1241,"Neširu maħor yoqƛ’orey, didiwƛa, łas yałru riyxanusi riłe qˤaƛu-quy teqno.",,neširu	maħor	y-oq-ƛ’oräy	didiw-ƛa	ła-s	yoł-ru	r-iy-xanusi	r-iłe	qˤaƛu-quy	teq-n,at.night	outside	II-become-SIM.CVB	which-INDEF	who.OBL-GEN1	be-PST.PRT	IV-know-NEG.PRS.PRT	IV-as	noise	hear-PST.UNW,"In the evening while she was going outside, she heard a noise sounding like someone was there.",stan1293,,2,adv	adv	pref-v-vsuf	pron-nsuf	pron-nsuf	v-vsuf	pref-v-vsuf	pref-conj	n4	v-vsuf,,"И вот в тот вечер, когда она выходила на улицу, услышала какой-то загадочный шум-гам."
43866,dido1241,"Dahaw aħya kurno yičinosi, yiłar riyn ža ciqez posures qˤaƛu-quy yałrułi.",,dahaw	aħya	kur-n	y-iči-nosi	yiła-r	r-iy-n	ža	ciq-z	posu-s	qˤaƛu-quy	yoł-rułi,a.little	ear	spread.out-PFV.CVB	II-be-ANT.CVB	DEM2.IISG.OBL-LAT	IV-know-PST.UNW	DEM1.SG	forest-GEN2	cattle-GEN1	noise	be-MSD,"After perking up her ear a little, she knew it was the noise of wild animals.",stan1293,,2,adv	n4	v-vsuf	pref-v-vsuf	pron-nsuf	pref-v-vsuf	pron	n4-nsuf	n4-nsuf	n4	v-vsuf,,"Немного послушав, женщина осмыслила, что это шорох диких животных."
43867,dido1241,"Sasaq maħor yoqzaƛ’or, yiłas ɣˤutku ciqez posurä šet’u rutiräsi resuzaƛ’, neła nasin žedu tataniłanix iduɣor regirno.",,sasaq	maħor	y-oq-zaƛ’or	yiła-s	ɣˤutku	ciq-z	posu-a	šet’u	r-utir-asi	r-esu-zaƛ’	neła-a	nasin	žedu	tatanił-ani-x	idu-ɣor	r-egir-n,in.the.morning	outside	II-become-POST.CVB	DEM2.IISG.OBL-GEN1	house	forest-GEN2	cattle-ERG	around	IV-gather-RES.PRT	IV-appear-CSL.CVB	DEM1.IISG.OBL-ERG	all	DEM1.IPL	warmthen.oneself-MSD-AD.ESS	home-IN.ALL	IV-send-PST.UNW,"The morning when she went outside, the wild animals gathered around her house; she let them into her house, which could be warmthened.",stan1293,,2,adv	adv	pref-v-vsuf	pron-nsuf	n4	n4-nsuf	n4-nsuf	post	pref-v-vsuf	pref-v-vsuf	pron-nsuf	adj	pron	v-deriv-nsuf	adv-nsuf	pref-v-vsuf,,"Завтра утром пока она не вышла на улицу, ее дом окружили лесные звери. И она пригласила их в теплый дом, чтобы могли греться."
43868,dido1241,"Boc’an, zeybin, ɣuro yałza rečuƛ, aɣˤnä teł rišin, aɣbi girimabin kurno idutow xecin, bełis čanyabin, resobin čolow yałza hiɣar regirno.",,boc’a-n	zey-bi-n	ɣuro	yoł-za	reču-ƛ	aɣˤni-a	teł	r-iši-n	aɣi-bi	giri-bi-n	kur-n	idu-tow	xeci-n	bełi-s	čan-bi-n	reso-bi-n	čolow	yoł-za	hiɣu-ar	r-egir-n,wolf.PL-and	bear-PL-and	cows	be-LCV.CVB	cattleshed-SUB.ESS	cowshed-IN.ESS	inside	IV-drive.in-PST.UNW	bird-PL	pole-PL-TOP	erect-PFV.CVB	home-EMPH	leave-PST.UNW	wild.goat-GEN1	she.goat-PL-and	roe-PL-and	straw	be-LCV	hayloft-IN.LAT	IV-send-PST.UNW,"She drove the wolves and bears into the cowshed where the cows were, erected poles for the birds to give [them] a home, and sent the wild goats and roes into the half-open shed where there was straw.",stan1293,,2,n3pl-suf	n3-nsuf-suf	n4	v-vsuf	n2-nsuf	n4-nsuf	adv	pref-v-vsuf	n3-nsuf	n4-nsuf-suf	v-vsuf	adv-suf	v-vsuf	n3-nsuf	n3-nsuf-suf	n3-nsuf-suf	n4	v-vsuf	n3-nsuf	pref-v-vsuf,,"Затем, волков и медведей она загнала в телятник хлева, где находился домашний скот, птиц решила оставить дома, забив жерди, а диких коз и косулей пустила в сеновал, где лежала салома."
43869,dido1241,"Sida quł łäƛ’or gulun bižin xizor yutin yedu yayzaƛ’or, nasin yiłas ɣuro zeyzan, boc’än rac’äsi resun.",,sida	qu-ł	łi-ƛ’or	gulu-n	b-iži-n	xizor	y-uti-n	yedu	y-ay-zaƛ’or	nasin	yiła-s	ɣuro	zey-bi-a-n	boc’a-a-n	r-ac’-asi	r-esu-n,one.OBL	day-CONT.ESS	water-SUPER.LAT	horse-TOP	III-lead-PFV.CVB	back	II-turn.back-PST.UNW	DEM2.IISG	II-come-POST.CVB	all	DEM2.IISG.OBL-GEN1	cows	bear-PL-ERG-and	wolf.PL-ERG-and	IV-eat-RES.PRT	IV-find-PST.UNW,"One day when she came back from leading a horse to a watering place, it turned out that the bears and wolves had eaten up all her cows.",stan1293,,2,num	n4-nsuf	n4-nsuf	n3-suf	pref-v-vsuf	adv	pref-v-vsuf	pron	pref-v-vsuf	adj	pron-nsuf	n4	n3-nsuf-nsuf-suf	n3pl-nsuf-suf	pref-v-vsuf	pref-v-vsuf,,"Однажды она отвела коня на водопой, и пока она не вернулась обратно, весь ее скот медведи и волки съели."
43870,dido1241,"Nediwtow q’ʷariłi bayzaƛ’, dahawtow yuyn ʕiyayn, bisno sis bexora hibon łoxt’a ža bok’xo nasin boc’an, zeybin maħor roxirno.",,nediw-tow	q’ʷariłi	b-ay-zaƛ’	dahaw-tow	yuyn	ʕiyad-n	b-is-n	sis	bexora	hibo-n	łox-t’a	ža	b-ok’-x	nasin	boc’a-n	zey-bi-n	maħor	r-oxir-n,such-EMPH	sadness	III-come-CSL.CVB	a.little-EMPH	and(?)	cry-PST.UNW	I.PL-take-PFV.CVB	one	lengthy	stick-TOP	thrice-DISTR	DEM1.SG	III-beat-IPFV.CVB	all	wolf.PL-and	bear-PL-and	outside	III.PL-chase-PST.UNW,"Because of such a tragedy, she began to cry a little, took a long stick, beated it three times and chased off all the wolves and bears.",stan1293,,2,pron-suf	n4	pref-v-vsuf	adv-suf	conj	v-vsuf	pref-v-vsuf	num	adj	n3-suf	adv-suf	pron	pref-v-vsuf	adj	n3pl-suf	n3-nsuf-suf	adv	pref-v-vsuf,,"После такой трагедии женщина немного заплакала, подобрала одну длиннюю палку и, ударив ее по три раза, всех волков и медведей выдворила на улицу."
